Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.46826934814453,72.5285891982157,71.22326675908423,71.47660718407792,135480400
2020-01-03,71.76371002197266,72.5237384458872,71.5393220101689,71.69615210347494,146322800
2020-01-06,72.33557891845703,72.37418451551846,70.63456167650634,70.8854943757732,118387200
2020-01-07,71.99535369873047,72.60095990158051,71.77578859164102,72.34520436217124,108872000
2020-01-08,73.15351104736328,73.4551103351791,71.69859637747034,71.69859637747034,132079200
2020-01-09,74.70733642578125,74.90035698659045,73.87974991049977,74.13067516689924,170108400
2020-01-10,74.8762435913086,75.44084394712849,74.37438560790245,74.94139375104534,140644800
2020-01-13,76.47591400146484,76.50245856347271,75.07408132346671,75.19231323252647,121532000
2020-01-14,75.4432144165039,76.62307380074168,75.32016697292072,76.41316197489823,161954400
2020-01-15,75.11991882324219,76.12364189473249,74.6880266854858,75.2429736592525,121923600
2020-01-16,76.06092071533203,76.17191454820045,75.30089202786714,75.66281115173265,108829200
2020-01-17,76.9029769897461,76.90538477645106,76.00300228022495,76.30942443229468,137816400
2020-01-21,76.3818130493164,76.97294309653658,76.24428203921465,76.53140508279039,110843200
2020-01-22,76.65444946289062,77.20697385138125,76.56034698568028,76.86676909750412,101832400
2020-01-23,77.02361297607422,77.1032319252794,76.15982874124028,76.70753760258107,104472000
2020-01-24,76.80164337158203,78.01286327957854,76.61103058846822,77.26972598534742,146537600
2020-01-27,74.54325866699219,75.223660842835,73.56124993820636,74.81107521306389,161940000
2020-01-28,76.65206146240234,76.82336779320974,75.32502461892797,75.42395006721497,162234000
2020-01-29,78.2565689086914,79.10346205845778,77.54238386247792,78.2831134747075,216229200
2020-01-30,78.14315032958984,78.19623208684209,76.90780110255082,77.33969324731856,126743200
2020-01-31,74.67838287353516,77.85602816826189,74.38402173692818,77.43378925544725,199588400
2020-02-03,74.47329711914062,75.63867332859459,72.91945726436026,73.42131515382538,173788400
2020-02-04,76.93191528320312,77.12252801422878,75.67243689523981,76.0777843995069,136616400
2020-02-05,77.55925750732422,78.35789164403798,76.95605907395962,78.0587002140709,118826800
2020-02-06,78.46647644042969,78.46889159082244,77.27214775489887,77.8295026141326,105425600
2020-02-07,77.39988708496094,78.21492705790754,76.9089278720762,77.9658198194633,117684000
2020-02-10,77.76750183105469,77.76750183105469,75.90524599878522,75.98505390529154,109348800
2020-02-11,77.29833221435547,78.33587960306747,77.080666839712,78.26332693843266,94323200
2020-02-12,79.13397216796875,79.13880655058661,77.74815764169257,77.74815764169257,113730400
2020-02-13,78.57048034667969,78.89698211544386,78.20286785946678,78.40602271140597,94747600
2020-02-14,78.58981323242188,78.83892050632156,78.08192253766144,78.53901899642953,80113600
2020-02-18,77.15079498291016,77.33218399932765,76.08906106405882,76.27045008047632,152531200
2020-02-19,78.26815032958984,78.49791270322793,77.39264718918032,77.39264718918032,93984000
2020-02-20,77.46519470214844,78.51725240619737,76.95972489443142,78.02871401030635,100566000
2020-02-21,75.7117691040039,77.50147989029539,75.09504942814512,77.05888657687778,129554000
2020-02-24,72.11544036865234,73.56655262581305,69.95086901349747,71.89294062243466,222195200
2020-02-25,69.67271423339844,73.1674782506727,69.20110730705076,72.7853553748288,230673600
2020-02-26,70.77798461914062,72.04287320574078,69.29059633111234,69.2978515957081,198054800
2020-02-27,66.1513442993164,69.16965936503753,66.01590779451507,67.98458625765787,320605600
2020-02-28,66.1126480102539,67.33400483239866,62.00358558614566,62.2188373725417,426510000
2020-03-02,72.26781463623047,72.9038867453178,67.16715549336965,68.27000031448878,341397200
2020-03-03,69.9726333618164,73.52301950606079,69.12130946491573,73.44321158109558,319475600
2020-03-04,73.21826934814453,73.37789254779408,70.89407525882817,71.69460475808327,219178400
2020-03-05,70.84330749511719,72.44678042666858,70.4781085286997,71.47211693616212,187572800
2020-03-06,69.9024887084961,70.3354058888164,68.01604591388242,68.20226931131931,226176800
2020-03-09,64.37374877929688,67.25662042749718,63.6070747073531,63.78846370366684,286744800
2020-03-10,69.01004791259766,69.27608658534605,65.14767122671621,67.02686596637837,285290000
2020-03-11,66.61328125,68.01360611620582,65.74986801151265,67.0873163892102,255598800
2020-03-12,60.03492736816406,65.30004700639003,59.979302435498994,61.89960811199781,418474000
2020-03-13,67.22761535644531,67.69922981131083,61.176475967090425,64.06419375596272,370732000
2020-03-16,58.57897186279297,62.65901004477626,58.044477343492844,58.51608798383502,322423600
2020-03-17,61.154701232910156,62.303494624543745,57.65751943951495,59.86079146440188,324056000
2020-03-18,59.657630920410156,60.46299850331859,57.34794363950967,57.98885363786599,300233600
2020-03-19,59.20054244995117,61.149869314864894,58.67572396250281,59.83177642616681,271857200
2020-03-20,55.44215774536133,60.905593927619734,55.142259915533515,59.780979833542105,401693200
2020-03-23,54.26432800292969,55.26317786918558,51.42015002405914,55.16160047962253,336752800
2020-03-24,59.70841979980469,59.904319319039914,56.66592135701882,57.164135860349994,287531200
2020-03-25,59.3795166015625,62.45829217783847,59.08445680407946,60.644401795132616,303602000
2020-03-26,62.504241943359375,62.56228407124869,59.582668850990856,59.62136606316325,252087200
2020-03-27,59.91642761230469,61.882682250213904,59.74954910896998,61.128105042477195,204216800
2020-03-30,61.626312255859375,61.798028812791074,60.317891949823974,60.64197645935922,167976400
2020-03-31,61.50054931640625,63.48373516730324,60.94670980739506,61.81737856650545,197002000
2020-04-01,58.264564514160156,60.15342798886396,57.83406826188775,59.61651626922201,176218400
2020-04-02,59.236812591552734,59.29002033037774,57.294741195546685,58.12671272222617,165934000
2020-04-03,58.38549041748047,59.423033841940786,57.79537096509543,58.72166453956951,129880000
2020-04-06,63.47889709472656,63.63367854249636,60.31305518274137,60.68066757934002,201820400
2020-04-07,62.74365997314453,65.71118861311454,62.639665388856514,65.49351591759843,202887200
2020-04-08,64.34957885742188,64.66398358059458,63.179015782136176,63.54420737089297,168895200
2020-04-09,64.81391143798828,65.31696770263731,64.01822371729881,64.98563166236876,161834800
2020-04-13,66.0860595703125,66.19489592354667,64.29151446730144,64.89131008954301,131022800
2020-04-14,69.4236068725586,69.71383219653002,67.24693908498263,67.71855339125206,194994800
2020-04-15,68.78996276855469,69.24948009360917,67.87092811844572,68.2990035025,131154400
2020-04-16,69.33654022216797,69.70173905002567,68.28690358299804,69.50341866796147,157125200
2020-04-17,68.39573669433594,69.39942831156146,66.95913534892303,68.85284047730217,215250000
2020-04-20,66.97610473632812,68.1249022877368,66.95675981456722,67.22279861841002,130015200
2020-04-21,64.90582275390625,67.05346978399236,64.19477725392538,66.81887303902265,180991600
2020-04-22,66.77532196044922,67.2106524991791,65.83210087271084,66.17310561229915,116862400
2020-04-23,66.51658630371094,68.14183279733668,66.477889079965,66.71974119282156,124814400
2020-04-24,68.4368667602539,68.44654290771221,66.99300989791057,67.04138325446418,126161200
2020-04-27,68.48522186279297,68.81655786273095,67.70645826657413,68.15387848211901,117087600
2020-04-28,67.3751220703125,69.12854894429597,67.2832245167364,68.94715995733218,112004800
2020-04-29,69.58808135986328,70.05727484881541,68.65937052894684,68.86252533126566,137280800
2020-04-30,71.05612182617188,71.2326764610738,69.7380327214539,70.12741093803704,183064000
2020-05-01,69.91216278076172,72.31375148512824,69.13339900800005,69.23013833651491,240616800
2020-05-04,70.90132141113281,71.02950265458016,69.24705489201135,69.93633445349597,133568000
2020-05-05,71.96548461914062,72.79745613687825,71.21574190038736,71.36085458478117,147751200
2020-05-06,72.70796966552734,73.33919985774601,72.28230777359485,72.66685157702763,142333600
2020-05-07,73.46012878417969,73.80598277550787,73.03205337405477,73.33436839325711,115215200
2020-05-08,75.20857238769531,75.26192413525963,73.79233474410424,74.11972013139835,133838400
2020-05-11,76.39202880859375,76.88673708897407,74.50774723825187,74.71630682370795,145946400
2020-05-12,75.5190200805664,77.52697546648025,75.39776671813026,77.07590910984447,162301200
2020-05-13,74.607177734375,76.61998759486177,73.53044749592581,75.6984577813938,200622400
2020-05-14,75.06554412841797,75.1261708180673,73.12306262382332,73.84573542870217,158929200
2020-05-15,74.62174987792969,74.66782675243014,72.80294925518106,72.83690375248399,166348400
2020-05-18,76.37989807128906,76.75336041216173,75.25467098028571,75.94581646414036,135178400
2020-05-19,75.93856048583984,77.24324046806854,75.90703342703199,76.39689435415646,101729600
2020-05-20,77.41541290283203,77.48573451404336,76.75821444789756,76.79701640617802,111504800
2020-05-21,76.83827209472656,77.81800152461432,76.60061279419715,77.27720875945423,102688800
2020-05-22,77.33296966552734,77.41542106029263,76.4744938248148,76.57634250040586,81803200
2020-05-26,76.80915069580078,78.6303710026143,76.75337148985957,78.45091841064635,125522000
2020-05-27,77.14381408691406,77.28931960837535,75.92643293881503,76.66608292261066,112945200
2020-05-28,77.1777572631836,78.43636762804827,76.54239089339562,76.81884468298037,133560800
2020-05-29,77.1025619506836,77.88100619527637,76.74607689275909,77.42024505800298,153532400
2020-06-01,78.05078125,78.1720345974753,76.92554663308496,77.05650232055906,80791200
2020-06-02,78.41211700439453,78.43636915500637,77.34266154865261,77.7840255273494,87642800
2020-06-03,78.8437728881836,79.1056842545279,78.15990225471617,78.73222188437157,104491200
2020-06-04,78.16475677490234,78.96502587807994,77.79129440641832,78.66674739088378,87560400
2020-06-05,80.39096069335938,80.45158736054894,78.3854332069865,78.4145328231229,137250400
2020-06-08,80.86627960205078,80.90023409134206,79.37729235859877,80.08783519139197,95654400
2020-06-09,83.41987609863281,83.81273576255528,80.51465061318699,80.54617766782322,147712400
2020-06-10,85.56607818603516,86.03411442316352,83.92915767319556,84.36809428532175,166651600
